id;code;name
1;dot-com payment Libyan Dinar;white sensor local
2;calculate;Chips
3;Villages uniform PCI;Automotive Tactics architectures
4;Wisconsin Facilitator Incredible;reinvent
5;eco-centric Bedfordshire mesh;Configuration UIC-Franc
6;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
7;portal calculating Metal;real-time discrete redundant
8;Synergistic Personal Loan Account Sleek;Borders
9;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
10;interfaces;Garden Dale Wallis and Futuna
